Map,Roundtype,Blue Team,Red Team,time,len,KB,KR,UB,UR,FB
Nepal,Sanctum,HK,RUS,1:18,39,2,7,0,0,B
Nepal,Sanctum,HK,RUS,2:57,12,1,3,0,0,R
Nepal,Sanctum,HK,RUS,3:45,19,6,0,0,1,B
Nepal,Sanctum,HK,RUS,4:25,32,1,4,2,3,B
Nepal,Village,HK,RUS,0:36,0,0,1,0,0,R
Nepal,Village,HK,RUS,0:44,25,0,5,0,2,R
Nepal,Village,HK,RUS,1:26,0,0,1,0,0,R
Nepal,Village,HK,RUS,1:52,15,1,4,0,0,R
Nepal,Village,HK,RUS,2:36,6,1,2,1,0,R
Nepal,Village,HK,RUS,3:07,12,0,6,0,3,R
King's Row,Defense,HK,RUS,0:14,19,2,2,0,0,B
King's Row,Defense,HK,RUS,0:55,27,0,9,1,1,R
King's Row,Defense,HK,RUS,2:20,27,1,7,0,3,R
King's Row,Defense,HK,RUS,3:07,30,0,7,3,4,R
King's Row,Attack,HK,RUS,0:24,12,0,1,0,1,R
King's Row,Attack,HK,RUS,1:00,18,1,3,0,2,B
King's Row,Attack,HK,RUS,1:42,44,7,3,3,4,B
King's Row,Attack,HK,RUS,3:05,17,0,3,1,1,R
King's Row,Attack,HK,RUS,3:55,3,0,3,0,0,R
King's Row,Attack,HK,RUS,4:15,7,0,3,0,0,R
King's Row,Attack,HK,RUS,4:49,1,0,1,1,0,R
King's Row,Attack,HK,RUS,5:18,18,0,4,0,3,R
King's Row,Attack,HK,RUS,6:08,41,4,8,3,3,B
Temple of Anubis,Defense,HK,RUS,0:39,19,0,5,0,0,R
Temple of Anubis,Defense,HK,RUS,1:32,12,0,5,1,2,R
Temple of Anubis,Attack,HK,RUS,0:52,8,0,3,0,0,R
Temple of Anubis,Attack,HK,RUS,1:33,19,5,1,0,1,B
Temple of Anubis,Attack,HK,RUS,2:30,0,0,1,0,0,R
Temple of Anubis,Attack,HK,RUS,3:03,26,0,3,0,2,R
Temple of Anubis,Attack,HK,RUS,4:07,23,0,4,0,0,R
Temple of Anubis,Attack,HK,RUS,4:58,18,2,6,1,1,R
Temple of Anubis,Attack,HK,RUS,5:46,0,0,1,0,0,R
Temple of Anubis,Attack,HK,RUS,6:12,19,0,5,0,1,R
Temple of Anubis,Attack,HK,RUS,7:15,47,6,5,2,0,R
Rialto,Defense,HK,RUS,0:15,0,1,0,0,0,B
Rialto,Defense,HK,RUS,0:46,13,0,3,0,0,R
Rialto,Defense,HK,RUS,1:17,47,6,3,4,5,R
Rialto,Defense,HK,RUS,2:32,42,3,8,2,2,B
Rialto,Defense,HK,RUS,4:14,34,5,3,1,2,B
Rialto,Defense,HK,RUS,5:25,67,4,13,4,4,R
Rialto,Defense,HK,RUS,7:04,61,5,7,2,9,B
Rialto,Defense,HK,RUS,8:14,16,5,0,1,1,B
Rialto,Defense,HK,RUS,8:53,4,1,1,0,1,B
Rialto,Attack,HK,RUS,0:28,0,0,1,0,0,R
Rialto,Attack,HK,RUS,0:53,60,5,6,2,3,B
Rialto,Attack,HK,RUS,2:05,36,2,6,2,3,B
Rialto,Attack,HK,RUS,3:22,0,0,1,0,0,R
Rialto,Attack,HK,RUS,3:41,37,2,8,4,2,B
Oasis,University,TW,KR,0:13,0,1,0,0,0,B
Oasis,University,TW,KR,0:38,33,0,6,1,1,R
Oasis,University,TW,KR,1:56,12,0,3,2,1,R
Oasis,University,TW,KR,2:26,21,0,4,1,3,R
Oasis,University,TW,KR,3:22,13,1,6,1,1,R
Oasis,City Center,TW,KR,0:25,34,4,3,0,1,B
Oasis,City Center,TW,KR,1:32,30,5,2,3,1,R
Oasis,City Center,TW,KR,2:38,33,7,1,5,1,R
Oasis,Gardens,TW,KR,0:26,0,1,0,0,0,B
Oasis,Gardens,TW,KR,0:52,45,3,10,2,1,B
Oasis,Gardens,TW,KR,2:46,16,0,3,0,1,R
Oasis,Gardens,TW,KR,3:36,20,1,5,1,2,R
King's Row,Attack,TW,KR,0:11,0,0,1,0,0,R
King's Row,Attack,TW,KR,0:28,0,0,1,0,0,R
King's Row,Attack,TW,KR,0:46,30,0,6,0,1,R
King's Row,Attack,TW,KR,1:54,10,0,4,0,2,R
King's Row,Attack,TW,KR,2:31,2,1,1,0,1,B
King's Row,Attack,TW,KR,2:42,11,1,0,0,0,B
King's Row,Attack,TW,KR,3:06,43,7,4,1,2,B
King's Row,Attack,TW,KR,4:37,44,3,3,1,1,R
King's Row,Attack,TW,KR,5:54,11,1,0,0,0,B
King's Row,Attack,TW,KR,6:17,39,2,7,1,3,R
King's Row,Defense,TW,KR,0:56,0,1,0,0,0,B
King's Row,Defense,TW,KR,1:06,24,1,6,0,1,R
King's Row,Defense,TW,KR,2:12,38,2,7,2,3,R
King's Row,Defense,TW,KR,3:18,13,0,5,0,0,R
Temple of Anubis,Attack,TW,KR,0:12,0,0,1,0,0,R
Temple of Anubis,Attack,TW,KR,0:45,32,3,9,0,0,B
Temple of Anubis,Attack,TW,KR,1:29,7,0,1,0,1,R
Temple of Anubis,Attack,TW,KR,1:55,9,0,2,0,0,R
Temple of Anubis,Attack,TW,KR,2:28,0,0,1,0,0,R
Temple of Anubis,Attack,TW,KR,2:36,27,0,4,0,2,R
Temple of Anubis,Attack,TW,KR,3:26,14,0,5,1,2,R
Temple of Anubis,Attack,TW,KR,3:47,41,6,1,3,2,B
Temple of Anubis,Attack,TW,KR,5:10,21,0,4,1,1,R
Temple of Anubis,Attack,TW,KR,6:21,22,0,5,0,1,R
Temple of Anubis,Attack,TW,KR,7:25,17,0,4,0,0,R
Temple of Anubis,Attack,TW,KR,8:05,45,0,8,4,4,R
Temple of Anubis,Defense,TW,KR,0:23,21,5,0,0,0,B
Temple of Anubis,Defense,TW,KR,1:01,43,2,7,3,4,R
Temple of Anubis,Defense,TW,KR,3:15,42,0,9,4,4,R
Rialto,Attack,TW,KR,0:36,55,11,3,1,0,B
Rialto,Attack,TW,KR,2:07,28,2,6,4,4,B
Rialto,Attack,TW,KR,3:13,18,1,6,1,1,R
Rialto,Attack,TW,KR,4:23,25,4,0,2,3,B
Rialto,Attack,TW,KR,5:30,6,0,2,0,0,R
Rialto,Attack,TW,KR,6:13,10,0,4,0,1,R
Rialto,Attack,TW,KR,6:47,40,2,4,2,4,R
Rialto,Attack,TW,KR,7:43,31,1,7,2,3,B
Rialto,Defense,TW,KR,0:22,3,1,2,0,0,R
Rialto,Defense,TW,KR,0:38,11,0,1,0,1,R
Rialto,Defense,TW,KR,1:13,0,1,0,0,0,B
Rialto,Defense,TW,KR,1:31,12,0,6,0,0,R
Rialto,Defense,TW,KR,2:24,6,2,1,2,1,B
Rialto,Defense,TW,KR,3:12,15,0,4,0,2,R
Rialto,Defense,TW,KR,3:46,8,0,4,0,0,R
Rialto,Defense,TW,KR,4:32,19,2,4,1,2,R
Ilios,Ruins,HK,FL,0:46,17,4,0,0,0,B
Ilios,Ruins,HK,FL,1:25,21,0,4,1,1,R
Ilios,Ruins,HK,FL,2:08,17,2,4,0,2,R
Ilios,Ruins,HK,FL,2:44,16,1,4,3,1,R
Ilios,Ruins,HK,FL,3:23,0,0,1,0,0,R
Ilios,Ruins,HK,FL,3:50,3,0,2,0,0,R
Ilios,Lighthouse,HK,FL,0:57,14,1,6,0,0,R
Ilios,Lighthouse,HK,FL,1:35,14,5,0,0,0,B
Ilios,Lighthouse,HK,FL,2:11,15,0,5,1,1,R
Ilios,Lighthouse,HK,FL,2:49,8,0,2,0,0,R
Ilios,Lighthouse,HK,FL,3:21,2,0,1,2,1,R
Ilios,Lighthouse,HK,FL,3:51,20,2,3,3,3,B
King's Row,Attack,HK,FL,0:18,0,0,1,0,0,R
King's Row,Attack,HK,FL,0:52,11,0,1,0,2,R
King's Row,Attack,HK,FL,1:37,48,3,5,2,6,B
King's Row,Attack,HK,FL,3:01,11,0,4,0,0,R
King's Row,Attack,HK,FL,3:32,29,7,3,3,3,R
King's Row,Attack,HK,FL,4:57,8,0,2,1,1,R
King's Row,Attack,HK,FL,5:33,28,3,3,3,3,B
King's Row,Attack,HK,FL,6:27,20,0,6,1,2,R
King's Row,Defense,HK,FL,0:32,5,0,2,0,0,R
King's Row,Defense,HK,FL,0:54,0,0,1,0,0,R
King's Row,Defense,HK,FL,1:20,5,1,3,0,2,R
Temple of Anubis,Attack,HK,FL,0:43,12,1,2,0,0,R
Temple of Anubis,Attack,HK,FL,2:08,20,1,5,2,0,R
Temple of Anubis,Attack,HK,FL,3:22,42,0,7,3,4,R
Temple of Anubis,Defense,HK,FL,0:33,13,1,5,0,0,R
Rialto,Attack,HK,FL,0:36,29,2,2,1,1,R
Rialto,Attack,HK,FL,1:21,5,0,1,1,1,R
Rialto,Attack,HK,FL,1:37,20,1,4,0,2,B
Rialto,Attack,HK,FL,2:29,24,5,1,1,0,B
Rialto,Attack,HK,FL,3:15,30,7,2,2,2,B
Rialto,Attack,HK,FL,4:02,33,3,4,2,1,B
Rialto,Attack,HK,FL,4:50,14,1,5,1,1,R
Rialto,Attack,HK,FL,5:24,90,5,8,4,4,R
Rialto,Attack,HK,FL,7:23,4,0,2,0,1,R
Rialto,Defense,HK,FL,0:43,9,0,2,0,1,R
Rialto,Defense,HK,FL,1:00,35,1,6,2,4,R
Rialto,Defense,HK,FL,2:09,24,3,2,3,3,B
Rialto,Defense,HK,FL,2:48,27,1,4,0,3,R
Oasis,University,JP,RUS,0:29,7,2,0,0,0,B
Oasis,University,JP,RUS,1:04,4,4,0,0,0,B
Oasis,University,JP,RUS,1:34,39,5,4,5,3,R
Oasis,University,JP,RUS,2:22,21,4,2,1,2,R
Oasis,Gardens,JP,RUS,0:22,0,0,1,0,0,R
Oasis,Gardens,JP,RUS,0:45,7,1,1,0,1,R
Oasis,Gardens,JP,RUS,0:58,26,5,1,1,0,B
Oasis,Gardens,JP,RUS,1:44,21,5,0,1,1,B
Oasis,Gardens,JP,RUS,2:30,37,2,7,1,2,R
Oasis,Gardens,JP,RUS,3:36,15,2,3,3,1,B
Oasis,Gardens,JP,RUS,4:14,0,0,1,0,1,R
Oasis,Gardens,JP,RUS,4:27,24,6,0,1,2,B
Oasis,Gardens,JP,RUS,5:12,34,6,2,2,1,B
Eichenwalde,Defense,JP,RUS,0:52,38,5,1,1,1,B
Eichenwalde,Defense,JP,RUS,1:55,24,2,2,3,1,R
Eichenwalde,Defense,JP,RUS,2:47,13,0,6,0,1,R
Eichenwalde,Defense,JP,RUS,3:36,26,3,5,3,2,R
Eichenwalde,Defense,JP,RUS,4:18,2,1,1,0,0,R
Eichenwalde,Defense,JP,RUS,4:30,41,4,4,1,3,R
Eichenwalde,Defense,JP,RUS,5:28,40,2,6,2,2,B
Eichenwalde,Defense,JP,RUS,6:28,30,1,4,1,1,R
Eichenwalde,Defense,JP,RUS,7:10,36,5,3,2,4,B
Eichenwalde,Defense,JP,RUS,8:01,27,7,2,4,1,B
Eichenwalde,Attack,JP,RUS,0:26,0,0,1,0,0,R
Eichenwalde,Attack,JP,RUS,0:56,3,1,0,1,0,B
Eichenwalde,Attack,JP,RUS,1:19,24,0,4,1,1,R
Eichenwalde,Attack,JP,RUS,2:31,49,6,4,2,1,B
Eichenwalde,Attack,JP,RUS,3:35,2,0,2,0,0,R
Eichenwalde,Attack,JP,RUS,4:00,19,0,6,1,1,R
Eichenwalde,Attack,JP,RUS,5:03,12,2,1,2,2,B
Eichenwalde,Attack,JP,RUS,5:22,31,3,6,2,2,B
Eichenwalde,Attack,JP,RUS,6:15,34,1,6,2,3,B
Volskaya Industries,Defense,JP,RUS,0:33,17,0,5,0,1,R
Volskaya Industries,Defense,JP,RUS,1:21,9,4,1,1,2,B
Volskaya Industries,Defense,JP,RUS,2:14,18,5,1,0,2,R
Volskaya Industries,Defense,JP,RUS,3:08,39,2,6,4,2,R
Volskaya Industries,Defense,JP,RUS,4:04,22,2,6,0,2,R
Volskaya Industries,Defense,JP,RUS,4:33,18,6,0,3,1,B
Volskaya Industries,Defense,JP,RUS,5:40,40,6,4,1,2,R
Volskaya Industries,Defense,JP,RUS,6:46,15,6,1,2,0,R
Volskaya Industries,Defense,JP,RUS,7:27,47,1,11,3,3,R
Volskaya Industries,Attack,JP,RUS,0:34,2,1,1,0,0,R
Volskaya Industries,Attack,JP,RUS,0:51,10,1,5,0,0,R
Volskaya Industries,Attack,JP,RUS,1:32,6,1,2,0,1,R
Volskaya Industries,Attack,JP,RUS,1:59,28,3,5,0,0,B
Volskaya Industries,Attack,JP,RUS,2:47,15,0,4,0,1,R
Volskaya Industries,Attack,JP,RUS,3:34,13,1,1,0,1,B
Volskaya Industries,Attack,JP,RUS,3:53,22,0,5,1,5,R
Rialto,Defense,JP,RUS,0:38,16,1,6,0,2,R
Rialto,Defense,JP,RUS,1:09,0,0,1,0,0,R
Rialto,Defense,JP,RUS,1:23,19,0,6,0,3,R
Rialto,Defense,JP,RUS,2:03,0,1,0,0,1,B
Rialto,Defense,JP,RUS,2:09,36,3,3,2,3,R
Rialto,Defense,JP,RUS,2:59,79,3,11,4,7,R
Rialto,Defense,JP,RUS,4:41,1,0,1,0,1,R
Rialto,Defense,JP,RUS,4:49,29,1,7,1,2,R
Rialto,Defense,JP,RUS,5:50,2,0,2,0,0,R
Rialto,Attack,JP,RUS,0:37,0,0,1,0,0,R
Rialto,Attack,JP,RUS,0:52,35,1,6,0,3,R
Rialto,Attack,JP,RUS,2:02,13,2,2,2,2,B
Rialto,Attack,JP,RUS,2:24,12,1,0,1,0,B
Rialto,Attack,JP,RUS,3:18,19,6,1,1,0,B
Rialto,Attack,JP,RUS,4:11,36,3,4,2,3,R
Rialto,Attack,JP,RUS,5:17,31,3,2,3,3,B
Rialto,Attack,JP,RUS,6:08,0,0,1,0,0,R
Rialto,Attack,JP,RUS,6:22,3,0,1,0,1,R
Rialto,Attack,JP,RUS,6:30,20,1,3,2,3,R
Lijiang Tower,Night Market,FL,KR,0:56,18,1,6,0,0,R
Lijiang Tower,Night Market,FL,KR,1:32,31,2,5,0,4,B
Lijiang Tower,Night Market,FL,KR,2:32,7,1,0,1,1,B
Lijiang Tower,Night Market,FL,KR,2:55,15,0,6,1,1,R
Lijiang Tower,Night Market,FL,KR,3:26,33,5,4,4,1,R
Lijiang Tower,Night Market,FL,KR,4:30,26,0,7,1,3,R
Lijiang Tower,Control Center,FL,KR,0:21,12,4,0,0,0,B
Lijiang Tower,Control Center,FL,KR,1:24,15,4,1,1,1,B
Lijiang Tower,Control Center,FL,KR,2:26,18,2,1,1,1,R
Lijiang Tower,Control Center,FL,KR,3:02,26,0,5,2,2,R
Lijiang Tower,Control Center,FL,KR,4:06,7,0,5,0,0,R
Lijiang Tower,Control Center,FL,KR,4:38,23,1,5,2,4,B
King's Row,Attack,FL,KR,0:36,20,5,0,0,1,B
King's Row,Attack,FL,KR,1:17,0,1,0,0,0,B
King's Row,Attack,FL,KR,1:57,19,1,4,0,2,B
King's Row,Attack,FL,KR,2:38,11,5,0,2,0,B
King's Row,Attack,FL,KR,3:13,6,2,1,1,2,R
King's Row,Attack,FL,KR,3:30,26,4,1,2,0,B
King's Row,Attack,FL,KR,4:53,8,0,4,0,0,R
King's Row,Attack,FL,KR,5:23,21,5,1,0,3,B
King's Row,Attack,FL,KR,5:59,20,0,3,0,1,R
King's Row,Attack,FL,KR,6:46,1,0,1,1,0,R
King's Row,Attack,FL,KR,7:03,9,2,1,0,1,B
King's Row,Attack,FL,KR,7:30,35,0,7,0,1,R
King's Row,Defense,FL,KR,0:41,26,3,6,0,0,B
King's Row,Defense,FL,KR,2:12,26,0,6,1,0,R
King's Row,Defense,FL,KR,2:56,19,4,0,0,3,B
King's Row,Defense,FL,KR,3:30,6,0,2,2,0,R
King's Row,Defense,FL,KR,3:43,8,1,0,0,0,B
King's Row,Defense,FL,KR,4:24,10,2,0,2,0,B
King's Row,Defense,FL,KR,5:12,0,1,0,0,0,B
King's Row,Defense,FL,KR,5:27,12,1,0,0,1,B
King's Row,Defense,FL,KR,6:15,3,0,2,0,1,R
King's Row,Defense,FL,KR,6:25,20,0,5,0,1,R
King's Row,Defense,FL,KR,7:05,2,1,1,0,0,B
King's Row,Defense,FL,KR,7:56,12,2,1,0,1,B
King's Row,Defense,FL,KR,8:12,26,5,0,2,3,B
Temple of Anubis,Defense,FL,KR,0:41,15,1,5,0,0,R
Temple of Anubis,Defense,FL,KR,1:24,6,0,3,0,0,R
Temple of Anubis,Defense,FL,KR,1:41,44,0,9,3,4,R
Temple of Anubis,Attack,FL,KR,0:14,0,0,1,0,0,R
Temple of Anubis,Attack,FL,KR,0:32,32,2,4,0,2,R
Temple of Anubis,Attack,FL,KR,1:37,17,3,2,0,1,B
Temple of Anubis,Attack,FL,KR,2:06,19,1,3,1,2,R
Temple of Anubis,Attack,FL,KR,2:46,27,0,4,0,1,R
Temple of Anubis,Attack,FL,KR,3:29,34,0,7,3,3,R
Rialto,Attack,FL,KR,0:49,0,1,0,0,0,B
Rialto,Attack,FL,KR,1:07,46,1,5,1,4,R
Rialto,Attack,FL,KR,2:35,32,3,5,4,6,B
Rialto,Attack,FL,KR,3:31,6,2,0,0,0,B
Rialto,Attack,FL,KR,3:42,31,6,1,2,1,B
Rialto,Attack,FL,KR,4:45,15,4,1,1,0,B
Rialto,Attack,FL,KR,5:23,18,4,1,2,2,B
Rialto,Attack,FL,KR,6:07,16,2,6,1,3,B
Rialto,Attack,FL,KR,7:06,32,2,3,0,1,B
Rialto,Attack,FL,KR,8:00,13,5,1,2,1,R
Rialto,Attack,FL,KR,8:38,5,4,1,0,0,R
Rialto,Defense,FL,KR,0:27,19,1,6,0,0,R
Rialto,Defense,FL,KR,1:10,19,0,6,1,1,R
Rialto,Defense,FL,KR,1:51,28,0,7,1,2,R
Rialto,Defense,FL,KR,2:44,2,1,2,0,0,R
Rialto,Defense,FL,KR,3:11,17,1,1,3,3,R
Rialto,Defense,FL,KR,4:02,34,1,4,2,1,R
Rialto,Defense,FL,KR,5:00,9,1,3,1,3,B
Rialto,Defense,FL,KR,5:36,9,1,1,0,0,B
Rialto,Defense,FL,KR,6:17,25,4,0,3,2,B
Rialto,Defense,FL,KR,7:05,12,1,1,0,1,R
Rialto,Defense,FL,KR,7:45,11,3,0,2,2,B
Rialto,Defense,FL,KR,8:23,20,4,1,3,2,B
Nepal,Shrine,FL,KR,1:05,10,2,0,1,3,B
Nepal,Shrine,FL,KR,1:52,32,1,7,3,2,R
Nepal,Shrine,FL,KR,3:10,20,2,2,1,2,R
Nepal,Shrine,FL,KR,4:05,27,0,6,0,2,R
Nepal,Shrine,FL,KR,4:53,11,1,1,1,1,R
Nepal,Shrine,FL,KR,5:09,58,7,3,2,5,B
Nepal,Village,FL,KR,0:22,0,0,1,0,0,R
Nepal,Village,FL,KR,0:41,0,0,1,0,0,R
Nepal,Village,FL,KR,0:55,69,8,10,4,5,B
Nepal,Village,FL,KR,2:33,22,2,6,1,2,R
Nepal,Village,FL,KR,3:18,8,0,4,0,0,R
Nepal,Village,FL,KR,3:54,17,0,4,2,1,R
Nepal,Sanctum,FL,KR,0:38,11,0,5,0,0,R
Nepal,Sanctum,FL,KR,1:15,29,2,5,0,0,B
Nepal,Sanctum,FL,KR,2:06,21,5,0,1,3,B
Nepal,Sanctum,FL,KR,3:11,27,7,1,2,0,B
Nepal,Sanctum,FL,KR,3:54,23,0,6,1,1,R
Nepal,Sanctum,FL,KR,4:26,54,6,6,3,4,R
Nepal,Sanctum,FL,KR,5:40,17,0,5,0,2,R
Lijiang Tower,Garden,HK,KR,0:24,10,0,6,0,0,R
Lijiang Tower,Garden,HK,KR,0:56,5,0,1,0,0,R
Lijiang Tower,Garden,HK,KR,1:24,15,0,2,1,1,R
Lijiang Tower,Garden,HK,KR,2:06,2,0,1,0,2,R
Lijiang Tower,Garden,HK,KR,2:33,15,6,0,0,0,B
Lijiang Tower,Garden,HK,KR,2:58,7,2,0,1,2,B
Lijiang Tower,Garden,HK,KR,3:20,25,1,6,2,2,R
Lijiang Tower,Control Center,HK,KR,0:19,0,0,1,0,0,R
Lijiang Tower,Control Center,HK,KR,0:44,2,1,1,0,0,R
Lijiang Tower,Control Center,HK,KR,1:03,16,2,6,1,2,B
Lijiang Tower,Control Center,HK,KR,1:34,12,0,5,1,1,R
Lijiang Tower,Control Center,HK,KR,2:19,18,1,5,2,2,R
Lijiang Tower,Control Center,HK,KR,3:02,2,1,2,0,0,R
King's Row,Attack,HK,KR,0:09,14,1,3,0,0,B
King's Row,Attack,HK,KR,0:42,22,2,5,0,0,R
King's Row,Attack,HK,KR,1:36,4,1,1,2,0,R
King's Row,Attack,HK,KR,1:48,17,0,2,0,2,R
King's Row,Attack,HK,KR,3:12,0,0,1,0,0,R
King's Row,Attack,HK,KR,3:20,24,1,4,1,2,R
King's Row,Attack,HK,KR,4:05,28,1,6,2,3,B
King's Row,Defense,HK,KR,0:39,20,5,0,1,0,B
King's Row,Defense,HK,KR,1:21,0,1,0,0,0,B
King's Row,Defense,HK,KR,1:59,6,1,1,2,1,R
King's Row,Defense,HK,KR,2:14,25,1,6,2,2,R
Horizon Lunar Colony,Attack,HK,KR,0:31,11,1,3,0,0,R
Horizon Lunar Colony,Attack,HK,KR,1:17,3,2,2,1,1,B
Horizon Lunar Colony,Attack,HK,KR,1:36,0,0,1,0,0,R
Horizon Lunar Colony,Attack,HK,KR,2:17,12,0,2,0,0,R
Horizon Lunar Colony,Attack,HK,KR,3:00,4,1,1,1,0,R
Horizon Lunar Colony,Attack,HK,KR,3:37,10,0,4,0,0,R
Horizon Lunar Colony,Attack,HK,KR,3:55,13,0,2,2,1,R
Horizon Lunar Colony,Defense,HK,KR,1:02,7,1,0,0,1,B
Horizon Lunar Colony,Defense,HK,KR,1:26,7,0,2,0,1,R
Rialto,Attack,HK,KR,0:15,0,0,1,0,0,R
Rialto,Attack,HK,KR,0:35,29,7,0,1,0,B
Rialto,Attack,HK,KR,1:21,22,4,0,2,0,B
Rialto,Attack,HK,KR,2:09,41,2,5,3,4,B
Rialto,Attack,HK,KR,2:55,52,8,3,4,3,B
Rialto,Attack,HK,KR,4:17,22,0,3,0,1,R
Rialto,Attack,HK,KR,4:54,39,4,4,4,3,R
Rialto,Attack,HK,KR,5:49,6,1,3,0,1,R
Rialto,Attack,HK,KR,6:42,0,0,1,0,0,R
Rialto,Attack,HK,KR,7:09,27,2,4,1,2,R
Rialto,Attack,HK,KR,7:53,34,1,8,1,3,R
Rialto,Defense,HK,KR,0:27,23,2,3,0,0,B
Rialto,Defense,HK,KR,1:19,31,1,4,3,1,R
Rialto,Defense,HK,KR,2:19,33,1,6,1,2,R
Rialto,Defense,HK,KR,3:44,30,3,7,4,3,R
Ilios,Lighthouse,TW,JP,0:20,0,1,0,0,0,B
Ilios,Lighthouse,TW,JP,0:40,20,2,5,0,1,R
Ilios,Lighthouse,TW,JP,1:40,40,5,6,2,3,B
Ilios,Lighthouse,TW,JP,2:46,20,5,2,0,1,B
Ilios,Lighthouse,TW,JP,3:34,32,3,6,3,3,B
Ilios,Well,TW,JP,0:24,7,4,1,0,0,B
Ilios,Well,TW,JP,0:45,2,0,1,1,0,R
Ilios,Well,TW,JP,1:04,48,6,5,2,2,B
Ilios,Well,TW,JP,2:14,33,1,6,2,3,R
Ilios,Well,TW,JP,3:21,11,6,1,2,1,B
Ilios,Well,TW,JP,3:46,17,6,0,1,0,B
Ilios,Ruins,TW,JP,0:33,7,1,1,0,0,B
Ilios,Ruins,TW,JP,0:58,0,0,1,0,0,R
Ilios,Ruins,TW,JP,1:24,14,0,3,2,0,R
Ilios,Ruins,TW,JP,1:56,0,0,1,0,0,R
Ilios,Ruins,TW,JP,2:17,45,1,9,2,2,R
King's Row,Attack,TW,JP,0:36,5,1,2,0,0,R
King's Row,Attack,TW,JP,1:06,7,1,1,0,1,B
King's Row,Attack,TW,JP,1:37,4,0,2,0,0,R
King's Row,Attack,TW,JP,1:59,0,0,1,0,0,R
King's Row,Attack,TW,JP,2:18,21,5,1,2,1,B
King's Row,Attack,TW,JP,3:23,12,5,1,1,1,B
King's Row,Attack,TW,JP,4:02,39,7,1,3,2,B
King's Row,Attack,TW,JP,5:05,26,6,2,3,1,R
King's Row,Attack,TW,JP,5:43,20,3,2,2,2,B
King's Row,Defense,TW,JP,0:25,5,1,1,0,0,B
King's Row,Defense,TW,JP,0:46,8,2,1,0,0,B
King's Row,Defense,TW,JP,1:16,16,4,3,2,0,B
King's Row,Defense,TW,JP,1:55,34,1,6,3,2,R
King's Row,Defense,TW,JP,3:00,34,2,4,1,1,B
King's Row,Defense,TW,JP,4:06,23,1,7,1,3,R
King's Row,Defense,TW,JP,4:50,16,4,0,1,0,B
King's Row,Defense,TW,JP,5:31,13,2,1,0,0,B
King's Row,Defense,TW,JP,6:10,72,1,14,3,6,R
King's Row,Defense,TW,JP,0:38,35,6,2,0,0,R
King's Row,Attack,TW,JP,0:39,13,5,0,1,0,B
Temple of Anubis,Defense,TW,JP,0:14,0,1,0,0,0,B
Temple of Anubis,Defense,TW,JP,0:38,5,2,0,1,0,B
Temple of Anubis,Defense,TW,JP,1:23,17,1,6,1,1,R
Temple of Anubis,Defense,TW,JP,2:07,55,0,11,3,5,R
Temple of Anubis,Attack,TW,JP,1:00,3,0,3,0,0,R
Temple of Anubis,Attack,TW,JP,1:30,4,0,1,0,1,R
Temple of Anubis,Attack,TW,JP,1:54,8,0,2,0,1,R
Temple of Anubis,Attack,TW,JP,2:31,24,4,2,2,1,R
Temple of Anubis,Attack,TW,JP,3:33,16,2,4,0,0,R
Temple of Anubis,Attack,TW,JP,4:12,44,8,4,2,5,B
Temple of Anubis,Attack,TW,JP,5:19,0,0,1,0,0,R
Temple of Anubis,Attack,TW,JP,5:59,29,6,4,2,3,B
Temple of Anubis,Attack,TW,JP,6:39,58,4,5,1,4,B
Temple of Anubis,Attack,TW,JP,8:02,24,1,2,2,1,R
Rialto,Attack,TW,JP,0:24,0,0,1,0,0,R
Rialto,Attack,TW,JP,0:45,0,1,0,0,0,B
Rialto,Attack,TW,JP,0:57,12,1,0,0,2,B
Rialto,Attack,TW,JP,1:19,22,3,0,2,0,B
Rialto,Attack,TW,JP,2:03,21,1,4,1,1,R
Rialto,Attack,TW,JP,2:42,18,2,4,0,2,B
Rialto,Attack,TW,JP,3:35,29,2,4,2,1,R
Rialto,Attack,TW,JP,4:11,14,0,4,0,1,R
Rialto,Defense,TW,JP,0:35,41,0,6,0,1,R
Rialto,Defense,TW,JP,1:40,6,0,1,0,3,R
Oasis,University,RUS,FL,0:17,0,0,1,0,0,R
Oasis,University,RUS,FL,0:57,15,1,4,0,0,R
Oasis,University,RUS,FL,1:41,14,0,6,0,0,R
Oasis,University,RUS,FL,2:18,17,5,1,5,4,B
Oasis,University,RUS,FL,3:07,10,6,0,0,0,B
Oasis,University,RUS,FL,3:47,8,5,1,1,0,B
Oasis,University,RUS,FL,4:25,43,11,0,6,2,B
Oasis,City Center,RUS,FL,0:25,20,2,6,0,0,R
Oasis,City Center,RUS,FL,1:22,42,7,0,3,2,B
Oasis,City Center,RUS,FL,2:30,25,3,2,1,1,B
Oasis,City Center,RUS,FL,3:42,40,2,4,2,2,B
Oasis,City Center,RUS,FL,4:46,13,2,0,1,2,B
Oasis,City Center,RUS,FL,5:14,14,3,0,1,1,B
Oasis,City Center,RUS,FL,5:34,26,5,2,1,1,B
King's Row,Attack,RUS,FL,0:23,11,0,3,0,0,R
King's Row,Attack,RUS,FL,1:15,24,4,1,3,2,B
King's Row,Attack,RUS,FL,2:20,12,0,4,2,3,R
King's Row,Attack,RUS,FL,3:09,26,0,4,1,1,R
King's Row,Attack,RUS,FL,4:09,9,0,5,0,2,R
King's Row,Attack,RUS,FL,4:43,17,5,1,3,0,B
